iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
GMB,"Gambia, The",2508883,18.0,0.503,1.961,29.38,0,44000000,0,31000000,109.3333,14.25,4129.963,2171.23426317803,11.350861223017016,-31000000,-11.842314902687768,-6.0606060606060606
GHA,Ghana,31522290,5.2,0.631,1.765,454.51,1,31698000000,57000000,198000000,108.0,12.44,4505.975,5571.56486581219,9.183459533477592,-141000000,551.0641508627705,-3.414634146341464
GRC,Greece,10721582,2.5,0.889,1.93,209.47,1,4050000000,682000000,1535000000,24.0,2.55,1928.061,30356.2663953863,-0.9176792688729747,-853000000,168.2727622155014,12.371888726207906
GTM,Guatemala,16604026,16.3,0.642,2.278,191.79000000000002,1,4850000000,980000000,1519000000,36.0,3.33,9111.4,9037.68837623543,6.658823790893019,-539000000,100.30783217636491,23.295454545454543
GNB,Guinea-Bissau,1970457,19.7710595882059,0.49,2.21,46.7,0,99000000,2000000,5000000,118.0,12.66,4254.593,1970.32227789113,10.147916143771742,-3000000,3.5421519474923784,-50.0
GUY,Guyana,798753,5.0,0.708,2.075,315.61,1,307000000,2000000,64000000,72.0,9.48,7310.159,13361.5732145529,5.790755611359004,-62000000,68.73910416611892,-3.0303030303030303
GEO,Georgia,3720161,7.8,0.81,2.121,129.36,1,637000000,17000000,243000000,6.0,1.23,3263.443,15621.8736565619,-0.13730526275100152,-226000000,41.869148415888446,20.2970297029703
HTI,Haiti,11160438,46.4,0.543,2.101,93.41,1,1315000000,0,181000000,27.75,6.33,7416.732,3232.49563033632,5.648378697086652,-181000000,24.416916828891488,36.09022556390977
HND,Honduras,9958829,13.3,0.632,2.361,123.88999999999999,1,1543000000,534000000,851000000,108.0,4.01,8850.727,5850.5828319154,7.14749198585616,-317000000,31.04789480670871,33.38557993730408
HUN,Hungary,9771141,2.5,0.853,1.521,131.45,1,10014000000,3783000000,693000000,0.0,2.55,1264.663,33514.9417935891,-0.7303342020362027,3090000000,893.4047226981986,22.007042253521128
IND,India,1383112050,14.6,0.645,2.633,141.42000000000002,1,241105000000,4135000000,3764000000,52.12,10.21,7073.011,6887.53834793046,4.55416663527965,371000000,32.90065608856489,-48.96963123644252
IDN,Indonesia,269582878,6.2,0.716,1.77,142.86,1,51672000000,286000000,4426000000,56.28,6.71,11576.7,12358.2422460634,4.049105805942191,-4140000000,48.81389406681828,17.775412453432676
IRN,"Iran, Islamic Rep.",86564202,4.9,0.783,2.535,177.0,1,19979000000,2422000000,7561000000,101.0,16.18,4250.649,14678.7778788108,5.836058098485624,-5139000000,53.79979412274835,-1.3310713819652877
IRL,Ireland,4934340,2.5,0.942,1.38,165.93,1,612000000,145000000,2102000000,24.0,2.55,1024.208,87379.6929656668,4.942261275464663,-1957000000,-41.90125451428155,25.41766109785203
ISL,Iceland,360563,2.5,0.96,1.064,113.01,1,13000000,0,54000000,36.0,1.17,2468.378,58290.0968315122,8.992337106842193,-54000000,-76.95527447353167,1.8867924528301887
ISR,Israel,9054000,2.5,0.921,2.779,202.8,1,2093000000,535000000,2130000000,36.0,1.89,3169.53,40004.0305112173,8.041670147134282,-1595000000,28.36854428981664,2.799227799227799
ITA,Italy,59729081,2.5,0.897,1.724,144.59,1,19542000000,7016000000,10093000000,0.0,2.55,891.5286,44376.1625028912,-1.6490884279686302,-3077000000,182.58730915699172,11.697653829127933
JAM,Jamaica,2813773,7.5,0.719,2.028,171.07999999999998,1,546000000,19000000,348000000,57.71429,10.28,7816.019,10676.7254679633,0.6916579141833172,-329000000,22.965504026088837,3.2640949554896146
JPN,Japan,126633000,2.8,0.924,1.37,136.53,1,14301000000,38000000,19398000000,26.65,5.91,9803.116,42282.5508939691,-0.39955639801480247,-19360000000,-23.59735211200872,7.850550428110753
JOR,Jordan,10698683,14.6,0.727,1.985,130.5,1,1692000000,520000000,1111000000,53.0,4.84,3248.377,9954.26840387235,12.685967900979184,-591000000,27.650306911607714,-11.755361397934868
KAZ,Kazakhstan,18513673,2.5,0.819,1.932,354.88,1,11853000000,990000000,670000000,105.0,5.39,5005.409,27463.9715463979,5.534274277444555,320000000,285.3495211760519,38.71635610766045
KEN,Kenya,50951450,25.6,0.581,2.354,213.89,1,11759000000,174000000,420000000,15.5,13.08,6300.084,4795.40361246334,8.750974995714117,-246000000,16.89832888956056,-75.98627787307034
KGZ,Kyrgyz Republic,6456200,5.2,0.698,2.104,333.27,1,3613000000,163000000,105000000,5.0,5.57,5490.014,5480.29390725587,8.381876479376857,58000000,226.3471122332022,59.09090909090909
KWT,Kuwait,4441100,2.5,0.839,1.771,232.88,1,452000000,3000000,748000000,84.0,3.9,4330.284,49311.6984646194,13.619647032306807,-745000000,-131.10341311837158,-11.688311688311687
LSO,Lesotho,2225702,31.2,0.524,2.167,206.67,1,196000000,7000000,175000000,4.0,7.45,8824.5,2640.02830951902,5.059237080963559,-168000000,-118.60789644795214,-27.983539094650205
LVA,Latvia,1913822,2.5,0.871,1.689,192.01999999999998,1,390000000,262000000,382000000,24.0,2.55,1854.7,31883.2591148032,-3.221447798184298,-120000000,11.760706878696169,16.463414634146343
LBN,Lebanon,5781907,9.0,0.745,2.882,175.18,1,1402000000,143000000,832000000,96.0,4.97,3090.419,17896.9432162934,-9.64273770343213,-689000000,67.30055183177453,-7.760532150776053
LBY,Libya,6569088,9.4831125127725,0.722,3.269,227.0,1,1318000000,3000000,662000000,72.0,4.84,1989.087,23486.5448646736,6.085896287850832,-659000000,-26.36332105765672,-31.96300102774923
LBR,Liberia,4985289,39.2,0.484,1.86,151.73000000000002,1,750000000,0,16000000,193.0,9.58,4680.772,1517.07223894945,8.086153437883551,-16000000,-1.2873676872093256,0.0
LTU,Lithuania,2794137,2.5,0.884,1.713,155.48000000000002,1,910000000,654000000,674000000,7.307692,2.55,1756.137,38540.7814542339,-3.8133023054070523,-20000000,170.20195475025025,56.380510440835266
MKD,North Macedonia,2076694,3.1,0.784,1.924,337.44,1,1162000000,184000000,118000000,8.5,3.38,1590.455,17464.2928964857,0.31242965743836665,66000000,222.10319702373096,-8.527131782945736
MDG,Madagascar,27533134,47.4,0.51,1.858,147.65,1,5080000000,85000000,27000000,69.81818,8.89,8581.841,1652.38583223889,10.793253784810796,58000000,36.8549677236162,-34.146341463414636
MYS,Malaysia,32804020,2.6,0.81,1.528,103.80000000000001,1,1454000000,437000000,6530000000,28.0,6.22,10553.12,28842.3883921398,5.584976429594249,-6093000000,-59.47616407989022,1.9516003122560501
MWI,Malawi,18867337,17.6,0.519,1.778,417.23,1,18977000000,86000000,10000000,78.11765,7.08,7492.123,1581.7572095297,11.384388706213175,76000000,588.5823199898322,-84.375
MLI,Mali,20567424,5.6,0.433,2.684,209.39,1,7668000000,45000000,84000000,48.22222,11.77,3861.778,2312.70070067634,13.551204122010896,-39000000,163.43257612815296,-41.66666666666667
MAR,Morocco,36304408,4.4,0.682,2.052,194.04,1,7597000000,1384000000,2939000000,6.0,4.33,1705.621,8564.4189453125,4.682608286199681,-1555000000,15.218335792171587,12.691717791411042
MUS,Mauritius,1265711,7.2,0.817,1.562,107.03,1,81000000,0,186000000,24.0,1.3,9238.776,24681.0518439104,0.24599934262892986,-186000000,-43.03434854401992,9.411764705882353
MRT,Mauritania,4383849,9.2,0.563,2.306,57.42,0,87000000,3000000,209000000,61.99667,12.55,3585.317,5738.00987974985,11.089827733882045,-206000000,-37.57442593939709,2.955665024630542
MEX,Mexico,125085311,6.0,0.779,2.514,211.03,1,47425000000,9104000000,17946000000,20.38889,3.28,9276.133,20251.7263006084,4.107713883433458,-8842000000,168.11124065294925,7.512580877066859
MNG,Mongolia,3232430,4.0,0.746,1.785,107.79,1,293000000,0,110000000,134.0,5.03,7128.626,12983.8039867177,9.028791307459755,-110000000,-17.14611908069162,13.402061855670103
MNE,Montenegro,622028,2.5,0.837,1.941,134.54,1,71000000,2000000,84000000,7.606061,1.51,2077.5,23075.0856256983,-0.021055710839190625,-82000000,-20.39722829197399,0.0
MOZ,Mozambique,30285595,31.8,0.456,2.161,290.92,1,10109000000,312000000,510000000,66.0,8.96,8198.455,1339.42552026694,12.8238924606957,-198000000,42.869050537062265,50.442477876106196
MMR,Myanmar,53040212,2.5,0.598,2.448,114.31,1,11735000000,2510000000,36000000,141.6667,3.68,8799.023,5033.36532406202,3.0228120224421793,2474000000,106.93723030895879,-76.47058823529412
NAM,Namibia,2446644,18.9,0.639,1.892,101.02000000000001,1,151000000,42000000,267000000,120.0,7.26,7775.102,10432.0282059129,7.181833474686162,-225000000,-39.302806979683204,74.50980392156863
NIC,Nicaragua,6663924,17.5,0.664,2.338,131.56,1,1118000000,126000000,343000000,72.0,3.19,8964.235,5574.73913248981,5.800116152832741,-217000000,36.20902017489996,12.459016393442624
NER,Niger,23443393,19.7710595882059,0.406,2.42,190.93,1,6529000000,137000000,119000000,48.0,12.18,3647.055,1268.82779529477,16.470829571598426,18000000,87.57064195059138,197.5
NGA,Nigeria,203304492,12.0,0.538,2.843,383.69,1,146582000000,92000000,599000000,128.4286,11.48,4320.865,5290.61433302448,10.494102894802726,-507000000,337.30735012249505,-52.156549520766774
NOR,Norway,5347896,2.5,0.961,1.499,138.57,1,561000000,3000000,553000000,2.0,3.24,1614.931,66799.1647159421,3.069976199777705,-550000000,-33.66893236517687,3.75234521575985
